City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
400,salalah,17.0151,54.0924,76.98,72,5,1.14,OM,1667930457
401,zyryanka,65.75,150.85,-23.22,100,97,1.45,RU,1667930459
402,impfondo,1.6381,18.0667,77.59,76,81,3.29,CG,1667930462
403,nyurba,63.2842,118.3319,0.18,99,99,1.97,RU,1667930465
404,batagay-alyta,67.8006,130.4114,-1.5,98,100,1.1,RU,1667930467
405,naze,28.3667,129.4833,70.16,73,97,13.44,JP,1667930470
406,kapit,2.0167,112.9333,73.54,100,100,1.21,MY,1667930473
407,lasa,46.6166,10.7002,40.37,75,72,1.88,IT,1667930476
408,aschaffenburg,49.9739,9.1492,58.91,71,99,4.9,DE,1667930479
409,lazaro cardenas,17.9583,-102.2,84.36,67,48,5.32,MX,1667930194
410,brigantine,39.4101,-74.3646,60.03,37,0,13.8,US,1667930486
411,olga,43.7444,135.2892,33.85,66,5,4.23,RU,1667930489
412,austin,30.2672,-97.7431,77.54,81,57,1.99,US,1667930208
413,mersing,2.4312,103.8405,77.11,89,100,6.58,MY,1667930494
414,mezen,65.8522,44.24,33.73,99,100,3.02,RU,1667930496
415,cooma,-36.2333,149.1333,53.37,100,100,6.91,AU,1667930453
416,bukachacha,52.9833,116.9167,11.39,92,58,3.44,RU,1667930501
417,hambantota,6.1241,81.1185,77.76,85,98,2.24,LK,1667930503
418,bandarbeyla,9.4942,50.8122,79.68,77,0,8.46,SO,1667930508
419,maroantsetra,-15.4333,49.7333,72.0,80,36,3.09,MG,1667930510
420,karasjok,69.4719,25.5112,27.45,96,92,4.5,NO,1667930513
421,little current,45.9793,-81.9248,40.41,44,5,7.58,CA,1667930515
422,souris,49.6172,-100.2612,37.74,64,99,7.02,CA,1667930518
423,brae,60.3964,-1.353,50.36,84,78,14.5,GB,1667930520
424,zhifang,30.35,114.3167,68.07,48,84,6.87,CN,1667930523
425,odessa,46.4775,30.7326,49.24,49,82,2.77,UA,1667930436
426,dunedin,-45.8742,170.5036,52.12,84,19,3.91,NZ,1667930407
427,richards bay,-28.783,32.0377,70.56,94,100,1.83,ZA,1667930530
428,viedma,-40.8135,-62.9967,72.81,43,93,12.26,AR,1667930532
429,euless,32.8371,-97.0819,77.02,79,100,8.05,US,1667930535
430,husavik,66.0449,-17.3389,39.94,94,99,15.14,IS,1667930540
431,broken hill,-31.95,141.4333,67.91,50,1,12.73,AU,1667930542
432,ilam,26.9167,87.9167,60.85,81,61,1.99,NP,1667930545
433,ulladulla,-35.35,150.4667,54.5,87,13,3.65,AU,1667930547
434,aykhal,66.0,111.5,7.03,96,100,7.0,RU,1667930550
435,ayan,56.45,138.1667,17.51,57,88,5.61,RU,1667930553
436,ewa beach,21.3156,-158.0072,78.44,79,95,21.81,US,1667930539
437,koutsouras,35.0339,25.9469,65.1,54,5,12.8,GR,1667930557
438,sabang,5.8933,95.3214,81.37,73,100,2.64,ID,1667930560
439,promyshlennaya,54.9159,85.6385,29.35,93,94,2.91,RU,1667930562
440,codrington,-38.2667,141.9667,59.14,79,7,7.99,AU,1667930564
441,marrakesh,31.6315,-8.0083,80.67,22,40,9.22,MA,1667930364
442,mbuji-mayi,-6.15,23.6,73.6,83,83,6.4,CD,1667930407
443,tura,25.5198,90.2201,65.14,88,7,3.85,IN,1667930571
444,kutum,14.2,24.6667,73.4,19,1,8.68,SD,1667930574
445,new iberia,30.0035,-91.8187,87.87,42,20,11.5,US,1667930576
446,olsztyn,53.7799,20.4942,42.76,87,79,7.63,PL,1667930437
447,arona,28.0996,-16.681,68.52,80,20,14.97,ES,1667930580
448,pochutla,15.7432,-96.4661,87.82,59,16,5.44,MX,1667930590
449,tevriz,57.509,72.4042,25.48,89,100,6.55,RU,1667930592
450,pacific grove,36.6177,-121.9166,51.48,89,100,9.22,US,1667930595
451,charlestown,-32.95,151.6667,58.41,93,0,1.97,AU,1667930599
452,presidencia roque saenz pena,-26.7852,-60.4388,92.34,15,66,7.61,AR,1667930602
453,nijar,36.9665,-2.206,62.65,72,0,1.14,ES,1667930604
454,buckingham,51.9997,-0.9878,53.22,86,47,3.0,GB,1667930607
455,riyadh,24.6877,46.7219,84.34,17,0,8.57,SA,1667930378
456,christchurch,-43.5333,172.6333,55.9,85,2,9.22,NZ,1667930469
457,galle,6.0367,80.217,76.8,88,96,6.87,LK,1667930486
458,south river,40.4465,-74.386,60.69,36,52,4.0,US,1667930616
459,muisne,0.6,-80.0333,75.54,78,96,10.83,EC,1667930619
460,hervey bay,-25.2986,152.8535,67.12,67,21,12.8,AU,1667930621
461,krasnaya polyana,56.242,51.1442,35.42,94,100,11.16,RU,1667930623
462,taltal,-25.4,-70.4833,64.69,67,25,6.08,CL,1667930626
463,elizabeth city,36.2946,-76.2511,62.62,64,0,1.99,US,1667930517
464,beringovskiy,63.05,179.3167,23.59,82,100,5.1,RU,1667930630
465,saint andrews,34.0454,-81.1293,75.65,22,20,11.5,US,1667930633
466,forio,40.7342,13.8646,61.52,61,64,2.57,IT,1667930635
467,garbolovo,60.3413,30.4955,44.98,96,100,8.43,RU,1667930638
468,minsk,53.9,27.5667,46.15,91,97,10.22,BY,1667930415
469,taoudenni,22.6783,-3.9836,82.36,13,21,7.56,ML,1667930642
470,panguna,-6.3164,155.4848,68.31,93,99,1.63,PG,1667930645
471,san cristobal,7.7669,-72.225,80.78,56,76,2.77,VE,1667930647
472,bambanglipuro,-7.95,110.2833,76.32,87,100,1.59,ID,1667930650
473,tommot,58.9564,126.2925,18.19,95,100,5.99,RU,1667930652
474,luzhou,28.8724,105.4405,64.33,91,22,1.9,CN,1667930440
475,waingapu,-9.6567,120.2641,80.17,81,100,3.94,ID,1667930657
476,liverpool,53.4106,-2.9779,52.29,88,75,11.5,GB,1667930530
477,bara,10.3744,10.7288,82.51,27,66,5.44,NG,1667930662
478,krivosheino,57.3431,83.9261,25.43,96,100,3.83,RU,1667930667
479,kaeo,-35.1,173.7833,61.32,95,61,4.85,NZ,1667930669
480,alexandria,31.2156,29.9553,71.56,64,40,10.36,EG,1667930383
481,kloulklubed,7.0419,134.2556,83.66,75,65,6.85,PW,1667930674
482,hastings,50.8552,0.5729,58.51,78,88,28.25,GB,1667930676
483,carlagan,14.975,122.0456,80.37,85,97,12.55,PH,1667930679
484,nabire,-3.3667,135.4833,74.89,92,98,3.47,ID,1667930681
485,qianan,44.9932,124.0581,38.48,43,39,12.84,CN,1667930684
486,minas,-34.3759,-55.2377,73.51,43,0,12.39,UY,1667930686
487,whitefish,48.4111,-114.3376,17.51,73,32,3.65,US,1667930429
488,itoman,26.1247,127.6694,75.22,78,98,9.22,JP,1667930690
489,ust-ishim,57.6935,71.1665,27.0,93,100,7.7,RU,1667930693
490,san juan bautista,-14.0108,-75.7358,84.65,30,3,14.65,PE,1667930433
491,grand gaube,-20.0064,57.6608,74.37,69,74,5.01,MU,1667930697
492,tara,56.8944,74.371,24.4,91,100,7.36,RU,1667930700
